Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   77.8513  -215.7207  1728.4411     0.8241    -0.2587    -0.5040    -0.5296    -0.6674    -0.5235    -0.2009     0.6984    -0.6870
   78.0127  -215.7742  1728.3397     0.8057    -0.2829    -0.5204    -0.5341    -0.7268    -0.4318    -0.2560     0.6259    -0.7367
   78.1711  -215.8334  1728.2344     0.7841    -0.3118    -0.5367    -0.5592    -0.7299    -0.3930    -0.2692     0.6083    -0.7467
   78.3259  -215.8990  1728.1253     0.7603    -0.3433    -0.5515    -0.5681    -0.7631    -0.3081    -0.3150     0.5475    -0.7752
   78.4765  -215.9716  1728.0128     0.7336    -0.3775    -0.5651    -0.6049    -0.7416    -0.2899    -0.3096     0.5545    -0.7724
   78.6224  -216.0517  1727.8969     0.7050    -0.4120    -0.5772    -0.6249    -0.7458    -0.2308    -0.3354     0.5234    -0.7833
   78.7631  -216.1391  1727.7782     0.6753    -0.4455    -0.5877    -0.6668    -0.7094    -0.2284    -0.3152     0.5461    -0.7762
   78.8981  -216.2336  1727.6569     0.6440    -0.4778    -0.5975    -0.6942    -0.6932    -0.1939    -0.3215     0.5396    -0.7781
   79.0270  -216.3348  1727.5334     0.6121    -0.5080    -0.6060    -0.7312    -0.6554    -0.1892    -0.3011     0.5589    -0.7726
   79.1493  -216.4418  1727.4082     0.5803    -0.5343    -0.6146    -0.7768    -0.5899    -0.2206    -0.2447     0.6055    -0.7573
   79.2648  -216.5536  1727.2815     0.5480    -0.5580    -0.6232    -0.8009    -0.5649    -0.1984    -0.2414     0.6079    -0.7565
   79.3730  -216.6693  1727.1538     0.5158    -0.5782    -0.6322    -0.8453    -0.4637    -0.2656    -0.1395     0.6714    -0.7279
   79.4738  -216.7875  1727.0253     0.4837    -0.5940    -0.6428    -0.8727    -0.3835    -0.3023    -0.0670     0.7072    -0.7038
   79.5669  -216.9071  1726.8961     0.4514    -0.6063    -0.6547    -0.8920    -0.2861    -0.3501     0.0249     0.7420    -0.6699
   79.6524  -217.0270  1726.7663     0.4193    -0.6147    -0.6680    -0.9006    -0.1887    -0.3917     0.1147     0.7658    -0.6327
