Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -12.9583  -213.0295  1663.2797     0.3946     0.8890    -0.2322    -0.1241     0.3020     0.9452     0.9104    -0.3442     0.2295
  -12.6308  -212.2906  1663.0993     0.3988     0.8947    -0.2014     0.2965     0.0821     0.9515     0.8678    -0.4392    -0.2325
  -12.2978  -211.5583  1662.9506     0.4178     0.8942    -0.1606     0.5042    -0.0811     0.8598     0.7558    -0.4402    -0.4847
  -11.9444  -210.8312  1662.8385     0.4500     0.8858    -0.1133     0.5944    -0.2024     0.7783     0.6665    -0.4176    -0.6176
  -11.5576  -210.1078  1662.7655     0.4897     0.8695    -0.0642     0.6204    -0.2957     0.7264     0.6126    -0.3956    -0.6843
  -11.1299  -209.3874  1662.7315     0.5296     0.8480    -0.0178     0.6101    -0.3663     0.7026     0.5893    -0.3830    -0.7114
  -10.6612  -208.6710  1662.7346     0.5636     0.8257     0.0241     0.5502    -0.3969     0.7347     0.6162    -0.4008    -0.6780
  -10.1596  -207.9613  1662.7722     0.5878     0.8067     0.0617     0.4326    -0.3778     0.8186     0.6836    -0.4544    -0.5711
   -9.6389  -207.2619  1662.8419     0.6007     0.7935     0.0977     0.1843    -0.2564     0.9488     0.7779    -0.5520    -0.3003
   -9.1156  -206.5759  1662.9429     0.6021     0.7869     0.1353    -0.1069    -0.0884     0.9903     0.7912    -0.6108     0.0309
   -8.6048  -205.9050  1663.0754     0.5929     0.7858     0.1760    -0.3139     0.0242     0.9492     0.7416    -0.6180     0.2610
   -8.1167  -205.2483  1663.2405     0.5752     0.7879     0.2201    -0.4261     0.0588     0.9028     0.6983    -0.6130     0.3695
   -7.6548  -204.6020  1663.4391     0.5524     0.7904     0.2647    -0.4803     0.0423     0.8761     0.6813    -0.6111     0.4030
   -7.2155  -203.9599  1663.6708     0.5305     0.7909     0.3049    -0.4734    -0.0218     0.8806     0.7031    -0.6115     0.3629
   -6.7898  -203.3153  1663.9328     0.5144     0.7892     0.3354    -0.4508    -0.0839     0.8887     0.7295    -0.6083     0.3126
   -6.3671  -202.6619  1664.2195     0.5066     0.7863     0.3538    -0.2333    -0.2700     0.9342     0.8300    -0.5558     0.0467
   -5.9380  -201.9966  1664.5232     0.5066     0.7831     0.3608     0.6572    -0.6216     0.4263     0.5581     0.0212    -0.8295
   -5.4978  -201.3199  1664.8355     0.5110     0.7807     0.3597     0.7849    -0.2532    -0.5655    -0.3504     0.5713    -0.7421
   -5.0475  -200.6364  1665.1489     0.5163     0.7791     0.3554     0.7247    -0.1764    -0.6661    -0.4563     0.6015    -0.6557
   -4.5933  -199.9539  1665.4592     0.5194     0.7781     0.3533     0.8050    -0.5842     0.1031     0.2866     0.2309    -0.9298
   -4.1444  -199.2817  1665.7667     0.5177     0.7762     0.3600    -0.3413    -0.1985     0.9188     0.7846    -0.5985     0.1621
   -3.7104  -198.6285  1666.0773     0.5106     0.7722     0.3783    -0.3629    -0.2054     0.9089     0.7795    -0.6013     0.1754
   -3.2975  -197.9999  1666.4015     0.4958     0.7606     0.4191    -0.3205    -0.2883     0.9023     0.8071    -0.5817     0.1008
   -2.8322  -197.2801  1666.8328     0.4756     0.7404     0.4750    -0.3112    -0.3634     0.8781     0.8228    -0.5654     0.0576
